device_name,unit_code,location,series
GPE-DT-998,GPE998,M.SERVICE,DT LAMA FMX 400
GPE-DT-999,GPE999,M.SERVICE,DT LAMA FMX 400
GPE-FT-815,,,
GPE-FT-860,,,
GPE-FT-861,,,
GPE-FT-865,,,
GPE-FT-866,,,
GPE-FT-867,,,
GPE-FT-868,,,
GPE-FT-869,,,
GPE-FT-870,,,
GPE-FT-871,,,
GPE-FT-872,,,
GPE-FT-873,,,
GPE-GFTH-875,,,
GPE-HD-701,GPE701,JO SELATAN,HD 465
GPE-HD-702,GPE702,JO SELATAN,HD 465
GPE-HD-703,GPE703,JO SELATAN,HD 465
GPE-HD-705,GPE705,JO SELATAN,HD 465
GPE-HD-706,GPE706,JO SELATAN,HD 465
GPE-HD-707,GPE707,JO SELATAN,HD 465
GPE-HD-708,GPE708,SELATAN,HD 465
GPE-HD-709,GPE709,JO SELATAN,HD 465
GPE-HD-710,GPE710,JO SELATAN,HD 465
GPE-HD-711,GPE711,SELATAN,HD 465
GPE-HD-712,GPE712,SELATAN,HD 465
GPE-HD-713,GPE713,SELATAN,HD 465
GPE-HD-715,GPE715,SELATAN,HD 465
GPE-HD-716,GPE716,SELATAN,HD 465
GPE-HD-717,GPE717,SELATAN,HD 465
GPE-HD-718,GPE718,SELATAN,HD 465
GPE-HD-720,GPE720,SELATAN,HD 465
GPE-HD-721,GPE721,SELATAN,HD 465
GPE-HD-722,GPE722,SELATAN,HD 465
GPE-HD-723,GPE723,SELATAN,HD 465
GPE-HD-725,GPE725,SELATAN,HD 465
GPE-HD-726,GPE726,SELATAN,HD 465
GPE-HD-727,GPE727,SELATAN,HD 465
GPE-HD-728,GPE728,SELATAN,HD 465
GPE-HD-729,GPE729,SELATAN,HD 465
GPE-HD-730,GPE730,SELATAN,HD 465
GPE-HD-7301,GPE7301,SELATAN,OHT 773
GPE-HD-7302,GPE7302,SELATAN,OHT 773
GPE-HD-7303,GPE7303,SELATAN,OHT 773
GPE-HD-7305,GPE7305,SELATAN,OHT 773
GPE-HD-7306,GPE7306,SELATAN,OHT 773
GPE-HD-7307,GPE7307,SELATAN,OHT 773
GPE-HD-7308,GPE7308,SELATAN,OHT 773
GPE-HD-7309,GPE7309,SELATAN,OHT 773
GPE-HD-731,GPE731,SELATAN,HD 465
GPE-HD-7310,GPE7310,SELATAN,OHT 773
GPE-HD-7311,GPE7311,SELATAN,OHT 773
GPE-HD-7312,GPE7312,SELATAN,OHT 773
GPE-HD-7313,GPE7313,SELATAN,OHT 773
GPE-HD-732,GPE732,SELATAN,HD 465
GPE-HD-733,GPE733,SELATAN,HD 465
GPE-HD-735,GPE735,SELATAN,HD 465
GPE-HD-736,GPE736,SELATAN,HD 465
GPE-HD-737,GPE737,SELATAN,HD 465
GPE-HD-7801,GPE7801,SELATAN,HD 785
GPE-HD-7802,GPE7802,SELATAN,HD 785
GPE-HD-7803,GPE7803,SELATAN,HD 785
GPE-HD-7805,GPE7805,SELATAN,HD 785
GPE-HD-7806,GPE7806,SELATAN,HD 785
GPE-HD-7807,GPE7807,SELATAN,HD 785
GPE-HD-7808,GPE7808,SELATAN,HD 785
GPE-HD-7809,GPE7809,SELATAN,HD 785
GPE-HD-7810,GPE7810,SELATAN,HD 785
GPE-HD-7811,GPE7811,SELATAN,HD 785
GPE-HD-7812,GPE7812,SELATAN,HD 785
GPE-HD-7813,GPE7813,SELATAN,HD 785
GPE-HD-7815,GPE7815,SELATAN,HD 785
GPE-HD-7816,GPE7816,SELATAN,HD 785
GPE-HD-7817,GPE7817,SELATAN,HD 785
GPE-HD-7818,GPE7818,SELATAN,HD 785
GPE-HD-7819,GPE7819,SELATAN,HD 785
GPE-HD-7820,GPE7820,SELATAN,HD 785
GPE-HD-798,GPE798,SELATAN,HD 465
GPE-HD-799,GPE799,SELATAN,HD 465
GPE-HD-800,GPE800,SELATAN,HD 465
